ID,Name,KG,Beschreibung,Link,Wikidata ID,Wikidata Link,Benannt nach,Wikidata Person ID,Wikidata Person Link,Wikidata Person Name,Wikidata Person Geschlecht,Wikidata Person Beruf,Wikidata Person Geburtsdatum,Wikidata Person Sterbedatum
1678,Ernst-Koref-Promenade,Linz,"Der etwa in nordöstlicher Richtung verlaufende fußläufige Weg im Donaupark zwischen DDSG-Schiffsanlegestelle und Eisenbahnbrücke. Benannt 1992 nach dem Abgeordneten zum Nationalrat, Bundesrat und Bürgermeister Ernst Koref (1891-1988).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1678,,,Ernst Koref,Q1359032,https://www.wikidata.org/wiki/Q1359032,Ernst Koref,male,politician,1891-03-11T00:00:00Z,1988-11-15T00:00:00Z
1682,Eschenweg,Katzbach,"Vom Burgstallweg etwa in nordöstlicher, dann ostsüdöstlicher Richtung verlaufende Sackgasse. Benannt 1958 nach der einheimischen Baumart.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1682,,,,,,,,,,
1683,Esterbachweg,Katzbach,"Nach dem Objekt Lachstattstraße 5 vorerst in nordöstlicher, dann in südöstlicher Richtung verlaufend und Teilung in zwei Äste. Der nördliche Teil endet als Sackgasse, der südliche Teil mündet in den Scheibenleithenweg. Benannt 1958 nach dem gleichnamigen Bach.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1683,,,,,,,,,,
1685,Estermannstraße,Lustenau,"Nach dem Objekt Industriezeile 55 etwa in ostnordöstlicher Richtung zur Ehrentletzbergerstraße verlaufend. Benannt 1967 nach dem Fuhrwerksunternehmer, Urfahrer Gemeinderat und Ehrenbürger Anton Estermann (1857-1918), der sich um den Bau der Mühlkreisbahn verdient machte.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1685,,,Anton Estermann,,,,,,,
1687,Eullerstraße,Kleinmünchen,"Von der Wimmerstraße entlang des ""Wasserwaldes"" in südwestlicher Richtung verlaufende Sackgasse. Benannt 1962 nach dem Vorsitzenden des Arbeiter- und Soldatenrates, Landesrat, Bundesrat, Vizebürgermeister und Bürgermeister Eduard Euller (1874-1935).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1687,,,Eduard Euller,Q1288270,https://www.wikidata.org/wiki/Q1288270,Eduard Euller,male,politician,1874-04-20T00:00:00Z,1935-11-15T00:00:00Z
1688,Europaplatz,"Lustenau, Linz","Fläche zwischen dem Design-Center, dem Courtyard by Marriott Hotel und dem ORF-Landesstudio Oberösterreich. Benannt 1993 zur Förderung des Europagedankens.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1688,,,,,,,,,,
1689,Europastraße,"Waldegg, Kleinmünchen",Nach dem Objekt Landwiedstraße 82 etwa in südwestlicher Richtung zur Zibermayrstraße verlaufend. Benannt 1977 zur Förderung des Europagedankens.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1689,,,,,,,,,,
1690,Fabrikstraße,Linz,"Von der Rechten Donaustraße etwa in nordöstlicher Richtung zur Honauerstraße verlaufend. Benannt 1869 nach der ehemaligen Wollzeugfabrik. - 1730 Schießstattgasse für den westlichen Teil bis zur Kaserngasse nach der östlich der Kaserngasse gelegenen städtischen Schießstätte im Wörth (1640-1755). 1771 Neustift- oder Prunerstiftgasse. Bis 1869 Mollgasse nach dem Schiffmeister Anton Moll, dem Besitzer des Hauses Fabrikstraße 2.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1690,,,,,,,,,,
1691,Fadingerplatz,Ebelsberg,"Ortsplatz in Ebelsberg. 1954 offiziell neu benannt. Bereits im Jahre 1938 nach dem Führer im oberösterreichischen Bauernkrieg, Stephan Fadinger, benannt, der 1626 in Ebelsberg starb.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1691,Q109465255,https://www.wikidata.org/wiki/Q109465255,Stephan Fadinger,Q643708,https://www.wikidata.org/wiki/Q643708,Stephan Fadinger,male,hatter,1585-01-01T00:00:00Z,1626-07-05T00:00:00Z
1692,Fadingerstraße,Linz,"Nach dem Objekt Museumstraße 12 etwa in südsüdöstlicher Richtung zum Hessenplatz verlaufend. Benannt 1869 nach Stephan Fadinger, dem Führer der Bauern im oberösterreichischen Bauernkrieg von 1626. - 1863 Seilerstätte oder Seilergäßchen für das Teilstück zwischen der Bethlehemstraße und der Harrachstraße.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1692,,,Stephan Fadinger,Q643708,https://www.wikidata.org/wiki/Q643708,Stephan Fadinger,male,hatter,1585-01-01T00:00:00Z,1626-07-05T00:00:00Z
1694,Falterweg,"Posch, Pichling","Nach dem Objekt Oidener Straße 11 vorerst etwa in östlicher, dann in ostsüdöstlicher Richtung zum Zeisigweg verlaufend. Benannt 1958 nach der einheimischen Tierart.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1694,,,,,,,,,,
